,,,,,
Date ,Time,PV gen (kW),Load (kW),"Temp (°C)
",pmaxpu
1/3/2015,10:00:00 AM,1.844,1.07131787,36.205,
1/3/2015,11:00:00 AM,2.038,1.180177793,37.125,
1/3/2015,12:00:00 PM,1.934,1.250063477,36.979,
1/3/2015,1:00:00 PM,1.683,1.286634402,35.552,
1/3/2015,2:00:00 PM,1.524,1.339798582,33.213,
1/3/2015,3:00:00 PM,1.249,1.248448973,30.39,
1/3/2015,4:00:00 PM,0.941,1.121506749,27.935,
1/3/2015,5:00:00 PM,0.592,1.102901766,26.229,
1/3/2015,6:00:00 PM,0.207,1.10535569,25.147,
1/3/2015,7:00:00 PM,0.013,1.056098476,24.371,
1/3/2015,8:00:00 PM,0,1.001758534,23.666,
1/3/2015,9:00:00 PM,0,0.8860505259,22.936,
1/3/2015,10:00:00 PM,0,0.7229259538,22.243,
1/3/2015,11:00:00 PM,0,0.553805616,21.594,
1/4/2015,12:00:00 AM,0,0.5696863892,20.861,
1/4/2015,1:00:00 AM,0,0.441670814,20.073,
1/4/2015,2:00:00 AM,0,0.4945458436,19.306,
1/4/2015,3:00:00 AM,0,0.4853414814,18.658,
1/4/2015,4:00:00 AM,0,0.4810466139,18.154,
1/4/2015,5:00:00 AM,0,0.4932816067,17.687,
1/4/2015,6:00:00 AM,0.182,0.4901483058,17.832,
1/4/2015,7:00:00 AM,0.602,0.4690557612,18.893,
1/4/2015,8:00:00 AM,1.191,0.3995092406,20.574,
1/4/2015,9:00:00 AM,1.703,0.332178452,22.542,
1/4/2015,10:00:00 AM,2.06,0.2772859991,24.553,
1/4/2015,11:00:00 AM,2.283,0.2586054504,26.377,
1/4/2015,12:00:00 PM,2.315,0.3039194279,27.829,
1/4/2015,1:00:00 PM,2.301,0.363453867,29.048,
1/4/2015,2:00:00 PM,1.998,0.4767084303,29.58,
1/4/2015,3:00:00 PM,1.631,0.6234809233,29.568,
1/4/2015,4:00:00 PM,1.241,0.7979669005,29.024,
1/4/2015,5:00:00 PM,0.797,0.960278169,27.863,
1/4/2015,6:00:00 PM,0.341,1.005481854,25.95,
1/4/2015,7:00:00 PM,0.051,0.9437344108,23.151,
1/4/2015,8:00:00 PM,0,0.8652373293,20.762,
1/4/2015,9:00:00 PM,0,0.7204712535,19.454,
1/4/2015,10:00:00 PM,0,0.5603965143,18.764,
1/4/2015,11:00:00 PM,0,0.4076968163,18.357,
1/5/2015,12:00:00 AM,0,0.4624144603,18.049,
1/5/2015,1:00:00 AM,0,0.3881171133,17.87,
1/5/2015,2:00:00 AM,0,0.4331628876,17.711,
1/5/2015,3:00:00 AM,0,0.4259783291,17.533,
1/5/2015,4:00:00 AM,0,0.4307745127,17.376,
1/5/2015,5:00:00 AM,0,0.4575194011,17.299,
1/5/2015,6:00:00 AM,0.161,0.4974693616,18.478,
1/5/2015,7:00:00 AM,0.579,0.5070877685,20.803,
1/5/2015,8:00:00 AM,1.179,0.466579045,23.624,
1/5/2015,9:00:00 AM,1.689,0.39169263,26.761,
1/5/2015,10:00:00 AM,2.067,0.378532375,29.455,
1/5/2015,11:00:00 AM,2.295,0.4123932487,31.365,
1/5/2015,12:00:00 PM,2.385,0.5170302612,32.547,
1/5/2015,1:00:00 PM,2.342,0.6417638083,33.297,
1/5/2015,2:00:00 PM,2.169,0.7868859952,33.586,
1/5/2015,3:00:00 PM,1.859,0.9648326597,33.343,
1/5/2015,4:00:00 PM,1.338,1.177428103,32.469,
1/5/2015,5:00:00 PM,0.825,1.382115718,31.242,
1/5/2015,6:00:00 PM,0.339,1.423955755,29.602,
1/5/2015,7:00:00 PM,0.056,1.27986224,27.263,
1/5/2015,8:00:00 PM,0,1.103883523,24.915,
1/5/2015,9:00:00 PM,0,0.9225364912,23.282,
1/5/2015,10:00:00 PM,0,0.7063783217,22.329,
1/5/2015,11:00:00 PM,0,0.5309247334,21.825,
1/6/2015,12:00:00 AM,0,0.5544498818,21.523,
1/6/2015,1:00:00 AM,0,0.4679719794,21.177,
1/6/2015,2:00:00 AM,0,0.4996657428,20.779,
1/6/2015,3:00:00 AM,0,0.4942302398,20.418,
1/6/2015,4:00:00 AM,0,0.5049239314,20.243,
1/6/2015,5:00:00 AM,0,0.5297983674,20.184,
1/6/2015,6:00:00 AM,0.154,0.5680298734,21.898,
1/6/2015,7:00:00 AM,0.556,0.616012385,24.624,
1/6/2015,8:00:00 AM,1.141,0.6200139422,28.377,
1/6/2015,9:00:00 AM,1.639,0.6472881196,31.523,
1/6/2015,10:00:00 AM,2.009,0.7235008885,33.683,
1/6/2015,11:00:00 AM,2.229,0.8442947614,35.19,
1/6/2015,12:00:00 PM,2.33,0.9996573685,35.988,
1/6/2015,1:00:00 PM,2.291,1.108492223,36.474,
1/6/2015,2:00:00 PM,2.123,1.252922853,36.641,
1/6/2015,3:00:00 PM,1.764,1.404697638,36.371,
1/6/2015,4:00:00 PM,1.3,1.580715998,35.744,
1/6/2015,5:00:00 PM,0.694,1.757331103,34.575,
1/6/2015,6:00:00 PM,0.3,1.853452445,33.278,
1/6/2015,7:00:00 PM,0.043,1.766050016,31.38,
1/6/2015,8:00:00 PM,0,1.594523366,29.407,
1/6/2015,9:00:00 PM,0,1.346658943,28.149,
1/6/2015,10:00:00 PM,0,1.056454726,27.384,
1/6/2015,11:00:00 PM,0,0.8726419374,26.917,
1/7/2015,12:00:00 AM,0,0.8319519155,26.737,
1/7/2015,1:00:00 AM,0,0.7219093073,26.512,
1/7/2015,2:00:00 AM,0,0.7131022497,26.332,
1/7/2015,3:00:00 AM,0,0.7061489811,26.239,
1/7/2015,4:00:00 AM,0,0.6799060491,26.15,
1/7/2015,5:00:00 AM,0,0.6884562477,26.059,
1/7/2015,6:00:00 AM,0.147,0.7646169619,27.577,
1/7/2015,7:00:00 AM,0.547,0.90748112,30.092,
1/7/2015,8:00:00 AM,1.122,1.032691924,32.986,
1/7/2015,9:00:00 AM,1.619,1.133487441,34.714,
1/7/2015,10:00:00 AM,1.985,1.228462853,36.07,
1/7/2015,11:00:00 AM,2.206,1.335479508,37.14,
1/7/2015,12:00:00 PM,2.294,1.481796945,37.906,
1/7/2015,1:00:00 PM,2.047,1.602239715,37.906,
1/7/2015,2:00:00 PM,1.434,1.755591041,36.981,
1/7/2015,3:00:00 PM,1.047,1.833164056,36.031,
1/7/2015,4:00:00 PM,0.753,1.811326195,35.12,
1/7/2015,5:00:00 PM,0.453,1.854287963,33.852,
1/7/2015,6:00:00 PM,0.269,1.695138699,32.421,
1/7/2015,7:00:00 PM,0.038,1.478763552,30.679,
1/7/2015,8:00:00 PM,0,1.332590309,29.289,
1/7/2015,9:00:00 PM,0,1.155501221,28.785,
1/7/2015,10:00:00 PM,0,0.9262589578,28.24,
1/7/2015,11:00:00 PM,0,0.7517046825,27.461,
1/8/2015,12:00:00 AM,0,0.7273736291,26.386,
1/8/2015,1:00:00 AM,0,0.5954967108,25.366,
1/8/2015,2:00:00 AM,0,0.633005656,24.659,
1/8/2015,3:00:00 AM,0,0.6273345237,24.027,
1/8/2015,4:00:00 AM,0,0.5978414079,23.487,
1/8/2015,5:00:00 AM,0,0.6271902921,23.316,
1/8/2015,6:00:00 AM,0.089,0.6867916238,24.035,
1/8/2015,7:00:00 AM,0.445,0.7313698522,25.304,
1/8/2015,8:00:00 AM,0.782,0.7543033096,26.837,
1/8/2015,9:00:00 AM,0.586,0.765521625,26.58,
1/8/2015,10:00:00 AM,0.623,0.7760760364,26.02,
1/8/2015,11:00:00 AM,0.733,0.6916008644,25.612,
1/8/2015,12:00:00 PM,0.76,0.6572314842,25.194,
1/8/2015,1:00:00 PM,0.763,0.7232846359,25.067,
1/8/2015,2:00:00 PM,0.673,0.699224114,25.119,
1/8/2015,3:00:00 PM,0.536,0.720339243,24.991,
1/8/2015,4:00:00 PM,0.401,0.8062631468,24.677,
1/8/2015,5:00:00 PM,0.259,0.9043265139,24.167,
1/8/2015,6:00:00 PM,0.147,0.9488635229,23.57,
1/8/2015,7:00:00 PM,0.018,0.9568825983,22.811,
1/8/2015,8:00:00 PM,0,0.9219186329,22.012,
1/8/2015,9:00:00 PM,0,0.7859540367,21.3,
1/8/2015,10:00:00 PM,0,0.6023925882,20.66,
1/8/2015,11:00:00 PM,0,0.4609017005,20.142,
1/9/2015,12:00:00 AM,0,0.4813017651,19.701,
1/9/2015,1:00:00 AM,0,0.4058136747,19.283,
1/9/2015,2:00:00 AM,0,0.4578962612,18.874,
1/9/2015,3:00:00 AM,0,0.4308531508,18.552,
1/9/2015,4:00:00 AM,0,0.4334189044,18.317,
1/9/2015,5:00:00 AM,0,0.4668513512,18.095,
1/9/2015,6:00:00 AM,0.139,0.5129446466,18.302,
1/9/2015,7:00:00 AM,0.459,0.5715954751,19.046,
1/9/2015,8:00:00 AM,0.844,0.5823340743,20.152,
1/9/2015,9:00:00 AM,1.192,0.5437148109,21.549,
1/9/2015,10:00:00 AM,1.451,0.531497455,22.96,
1/9/2015,11:00:00 AM,1.63,0.5284467354,24.066,
1/9/2015,12:00:00 PM,1.712,0.5537648956,24.589,
1/9/2015,1:00:00 PM,1.624,0.5584924342,24.393,
1/9/2015,2:00:00 PM,1.423,0.5441010586,23.561,
1/9/2015,3:00:00 PM,1.175,0.5782396356,22.368,
1/9/2015,4:00:00 PM,0.738,0.6426542167,20.763,
1/9/2015,5:00:00 PM,0.436,0.7145550622,19.134,
1/9/2015,6:00:00 PM,0.177,0.7213371629,17.757,
1/9/2015,7:00:00 PM,0.015,0.6872199207,16.808,
1/9/2015,8:00:00 PM,0,0.6517096945,16.415,
1/9/2015,9:00:00 PM,0,0.5367439093,16.344,
1/9/2015,10:00:00 PM,0,0.4170803455,16.326,
1/9/2015,11:00:00 PM,0,0.2852989541,16.305,
1/10/2015,12:00:00 AM,0,0.3624402894,16.297,
1/10/2015,1:00:00 AM,0,0.2960065313,16.24,
1/10/2015,2:00:00 AM,0,0.3303209068,16.131,
1/10/2015,3:00:00 AM,0,0.3521290546,15.957,
1/10/2015,4:00:00 AM,0,0.3642234271,15.732,
1/10/2015,5:00:00 AM,0,0.3889789208,15.481,
1/10/2015,6:00:00 AM,0.099,0.4397103063,15.549,
1/10/2015,7:00:00 AM,0.349,0.4939411525,15.995,
1/10/2015,8:00:00 AM,0.637,0.5237603172,16.766,
1/10/2015,9:00:00 AM,0.855,0.5360977078,17.726,
1/10/2015,10:00:00 AM,1.063,0.5306564237,18.796,
1/10/2015,11:00:00 AM,1.272,0.4675912429,19.952,
1/10/2015,12:00:00 PM,1.336,0.4564499692,20.969,
1/10/2015,1:00:00 PM,1.331,0.381893243,21.63,
1/10/2015,2:00:00 PM,1.027,0.3775380863,21.648,
1/10/2015,3:00:00 PM,0.758,0.4407286841,21.512,
1/10/2015,4:00:00 PM,0.524,0.5279585085,21.323,
1/10/2015,5:00:00 PM,0.392,0.5960178607,21.153,
1/10/2015,6:00:00 PM,0.224,0.6370141138,20.726,
1/10/2015,7:00:00 PM,0.027,0.6743526577,19.806,
1/10/2015,8:00:00 PM,0,0.6415387627,18.843,
1/10/2015,9:00:00 PM,0,0.5488438165,18.35,
1/10/2015,10:00:00 PM,0,0.4172689917,17.958,
1/10/2015,11:00:00 PM,0,0.2909321663,17.655,
1/11/2015,12:00:00 AM,0,0.3638040013,17.495,
1/11/2015,1:00:00 AM,0,0.2894201979,17.488,
1/11/2015,2:00:00 AM,0,0.3432132174,17.344,
1/11/2015,3:00:00 AM,0,0.3472740705,17.097,
1/11/2015,4:00:00 AM,0,0.3509358467,16.794,
1/11/2015,5:00:00 AM,0,0.3914425466,16.48,
1/11/2015,6:00:00 AM,0.171,0.4244309843,16.797,
1/11/2015,7:00:00 AM,0.563,0.4315420455,17.95,
1/11/2015,8:00:00 AM,1.064,0.4192816854,19.597,
1/11/2015,9:00:00 AM,1.454,0.3606153143,21.361,
1/11/2015,10:00:00 AM,1.605,0.3373686644,22.897,
1/11/2015,11:00:00 AM,2.07,0.2505031435,24.659,
1/11/2015,12:00:00 PM,2.111,0.2520974641,25.992,
1/11/2015,1:00:00 PM,2.021,0.2174541528,26.999,
1/11/2015,2:00:00 PM,1.838,0.2338401024,27.615,
1/11/2015,3:00:00 PM,1.436,0.3517585415,27.656,
1/11/2015,4:00:00 PM,1.179,0.5014044472,27.574,
1/11/2015,5:00:00 PM,0.834,0.6738560329,27.285,
1/11/2015,6:00:00 PM,0.357,0.7967296347,26.473,
1/11/2015,7:00:00 PM,0.052,0.8059943243,24.246,
1/11/2015,8:00:00 PM,0,0.764882978,22.247,
1/11/2015,9:00:00 PM,0,0.6458703888,21.202,
1/11/2015,10:00:00 PM,0,0.5053805467,20.531,
1/11/2015,11:00:00 PM,0,0.3466915428,20.041,
1/12/2015,12:00:00 AM,0,0.4276704628,19.698,
1/12/2015,1:00:00 AM,0,0.3619908113,19.596,
1/12/2015,2:00:00 AM,0,0.3786684513,19.64,
1/12/2015,3:00:00 AM,0,0.4029762986,19.71,
1/12/2015,4:00:00 AM,0,0.4108543142,19.776,
1/12/2015,5:00:00 AM,0,0.4558026482,19.895,
1/12/2015,6:00:00 AM,0.156,0.4975304099,21.086,
1/12/2015,7:00:00 AM,0.557,0.515305342,23.124,
1/12/2015,8:00:00 AM,1.127,0.4706478513,25.027,
1/12/2015,9:00:00 AM,1.56,0.4539027627,26.558,
1/12/2015,10:00:00 AM,1.745,0.4361989526,27.786,
1/12/2015,11:00:00 AM,1.749,0.530272814,28.687,
1/12/2015,12:00:00 PM,1.545,0.6165315608,29.098,
1/12/2015,1:00:00 PM,1.066,0.7143604726,28.605,
1/12/2015,2:00:00 PM,0.903,0.7400281864,27.721,
1/12/2015,3:00:00 PM,0.936,0.7800096061,27.44,
1/12/2015,4:00:00 PM,0.79,0.8563477771,27.42,
1/12/2015,5:00:00 PM,0.55,0.9401161625,27.186,
1/12/2015,6:00:00 PM,0.25,0.951384946,26.384,
1/12/2015,7:00:00 PM,0.021,0.9380474659,25.093,
1/12/2015,8:00:00 PM,0,0.8941009664,23.994,
1/12/2015,9:00:00 PM,0,0.764883274,23.221,
1/12/2015,10:00:00 PM,0,0.5678125372,22.717,
1/12/2015,11:00:00 PM,0,0.414468296,22.317,
1/13/2015,12:00:00 AM,0,0.4979526136,21.85,
1/13/2015,1:00:00 AM,0,0.4009747844,21.248,
1/13/2015,2:00:00 AM,0,0.4131518212,20.694,
1/13/2015,3:00:00 AM,0,0.4157897234,20.149,
1/13/2015,4:00:00 AM,0,0.4271637978,19.568,
1/13/2015,5:00:00 AM,0,0.4685561889,19.025,
1/13/2015,6:00:00 AM,0.132,0.5422233674,18.962,
1/13/2015,7:00:00 AM,0.477,0.5970590447,19.45,
1/13/2015,8:00:00 AM,0.895,0.5920727684,20.16,
1/13/2015,9:00:00 AM,1.43,0.5245467698,21.069,
1/13/2015,10:00:00 AM,1.838,0.4982382257,21.948,
1/13/2015,11:00:00 AM,1.985,0.4633233563,22.467,
1/13/2015,12:00:00 PM,1.934,0.509555735,22.421,
1/13/2015,1:00:00 PM,1.802,0.5409016304,22.237,
1/13/2015,2:00:00 PM,1.717,0.5359941087,22.056,
1/13/2015,3:00:00 PM,1.506,0.568595329,21.735,
1/13/2015,4:00:00 PM,1.116,0.6332299362,21.142,
1/13/2015,5:00:00 PM,0.737,0.7240088228,20.431,
1/13/2015,6:00:00 PM,0.323,0.7336514835,19.506,
1/13/2015,7:00:00 PM,0.036,0.7054911791,18.599,
1/13/2015,8:00:00 PM,0,0.6607520669,18.001,
1/13/2015,9:00:00 PM,0,0.5393395604,17.651,
1/13/2015,10:00:00 PM,0,0.3844203742,17.348,
1/13/2015,11:00:00 PM,0,0.2553391371,17.105,
1/14/2015,12:00:00 AM,0,0.3348556627,16.907,
1/14/2015,1:00:00 AM,0,0.239215419,16.801,
1/14/2015,2:00:00 AM,0,0.3136615166,16.726,
1/14/2015,3:00:00 AM,0,0.333813597,16.608,
1/14/2015,4:00:00 AM,0,0.3591057188,16.505,
1/14/2015,5:00:00 AM,0,0.3990676329,16.504,
1/14/2015,6:00:00 AM,0.143,0.4821886538,17,
1/14/2015,7:00:00 AM,0.503,0.5322075879,17.865,
1/14/2015,8:00:00 AM,1.034,0.4866057344,18.879,
1/14/2015,9:00:00 AM,1.5,0.4135364316,19.824,
1/14/2015,10:00:00 AM,1.942,0.34015556,20.791,
1/14/2015,11:00:00 AM,2.252,0.2811492668,21.589,
1/14/2015,12:00:00 PM,2.404,0.2205399108,22.134,
1/14/2015,1:00:00 PM,2.435,0.1670850832,22.461,
1/14/2015,2:00:00 PM,2.283,0.1701450689,22.526,
1/14/2015,3:00:00 PM,1.982,0.2066498636,22.319,
1/14/2015,4:00:00 PM,1.528,0.3349472203,21.8,
1/14/2015,5:00:00 PM,0.955,0.4892851458,20.975,
1/14/2015,6:00:00 PM,0.361,0.6045628393,19.86,
1/14/2015,7:00:00 PM,0.049,0.6474262567,18.521,
1/14/2015,8:00:00 PM,0,0.6580924484,17.494,
1/14/2015,9:00:00 PM,0,0.5585675872,17.028,
1/14/2015,10:00:00 PM,0,0.4088187177,16.691,
1/14/2015,11:00:00 PM,0,0.2666614305,16.368,
1/15/2015,12:00:00 AM,0,0.3678963718,16.118,
1/15/2015,1:00:00 AM,0,0.3091023186,15.855,
1/15/2015,2:00:00 AM,0,0.3352454152,15.594,
1/15/2015,3:00:00 AM,0,0.3415958517,15.34,
1/15/2015,4:00:00 AM,0,0.347792793,15.162,
1/15/2015,5:00:00 AM,0,0.3946476778,15.054,
1/15/2015,6:00:00 AM,0.143,0.4764338589,15.758,
1/15/2015,7:00:00 AM,0.507,0.4971644742,16.82,
1/15/2015,8:00:00 AM,1.097,0.4216999752,18.122,
1/15/2015,9:00:00 AM,1.57,0.3292494996,19.355,
1/15/2015,10:00:00 AM,1.827,0.2968181976,20.331,
1/15/2015,11:00:00 AM,2.216,0.2331407402,21.39,
1/15/2015,12:00:00 PM,2.304,0.1880893818,21.985,
1/15/2015,1:00:00 PM,2.355,0.1444687541,22.371,
1/15/2015,2:00:00 PM,2.289,0.1529508662,22.624,
1/15/2015,3:00:00 PM,2.03,0.2246530154,22.585,
1/15/2015,4:00:00 PM,1.56,0.3295816182,22.224,
1/15/2015,5:00:00 PM,0.965,0.4901169197,21.559,
1/15/2015,6:00:00 PM,0.352,0.6087544878,20.512,
1/15/2015,7:00:00 PM,0.045,0.6545721741,18.939,
1/15/2015,8:00:00 PM,0,0.65205407,17.407,
1/15/2015,9:00:00 PM,0,0.5560485171,16.656,
1/15/2015,10:00:00 PM,0,0.409903863,16.028,
1/15/2015,11:00:00 PM,0,0.3034742968,15.518,
1/16/2015,12:00:00 AM,0,0.3560826427,15.451,
1/16/2015,1:00:00 AM,0,0.2644523243,15.54,
1/16/2015,2:00:00 AM,0,0.3310616419,15.413,
1/16/2015,3:00:00 AM,0,0.3232060299,15.073,
1/16/2015,4:00:00 AM,0,0.379538455,14.557,
1/16/2015,5:00:00 AM,0,0.3923168886,13.965,
1/16/2015,6:00:00 AM,0.134,0.4587033465,15.289,
1/16/2015,7:00:00 AM,0.554,0.4728612588,17.444,
1/16/2015,8:00:00 AM,1.208,0.3880412902,19.148,
1/16/2015,9:00:00 AM,1.77,0.2829879293,20.689,
1/16/2015,10:00:00 AM,2.182,0.1747056614,22.094,
1/16/2015,11:00:00 AM,2.438,0.103499228,23.337,
1/16/2015,12:00:00 PM,2.544,0.0943561867,24.244,
1/16/2015,1:00:00 PM,2.507,0.112137041,24.715,
1/16/2015,2:00:00 PM,2.329,0.1668233311,24.779,
1/16/2015,3:00:00 PM,2.008,0.2565720324,24.437,
1/16/2015,4:00:00 PM,1.539,0.3832772965,23.755,
1/16/2015,5:00:00 PM,0.955,0.5339978269,22.701,
1/16/2015,6:00:00 PM,0.353,0.6345583101,21.237,
1/16/2015,7:00:00 PM,0.029,0.6755139841,19.554,
1/16/2015,8:00:00 PM,0,0.6675487974,18.275,
1/16/2015,9:00:00 PM,0,0.5758420318,17.653,
1/16/2015,10:00:00 PM,0,0.4416843231,17.185,
1/16/2015,11:00:00 PM,0,0.3440070314,16.772,
1/17/2015,12:00:00 AM,0,0.3998838827,16.492,
1/17/2015,1:00:00 AM,0,0.2957049939,16.263,
1/17/2015,2:00:00 AM,0,0.3760690725,16.106,
1/17/2015,3:00:00 AM,0,0.3502504507,15.922,
1/17/2015,4:00:00 AM,0,0.3737878808,15.733,
1/17/2015,5:00:00 AM,0,0.4067279766,15.566,
1/17/2015,6:00:00 AM,0.144,0.4300852403,16.714,
1/17/2015,7:00:00 AM,0.511,0.4420929186,18.066,
1/17/2015,8:00:00 AM,1.044,0.3954456469,19.12,
1/17/2015,9:00:00 AM,1.553,0.3042930173,20.203,
1/17/2015,10:00:00 AM,2.005,0.2155000021,21.32,
1/17/2015,11:00:00 AM,2.328,0.1530771885,22.382,
1/17/2015,12:00:00 PM,2.5,0.104404379,23.149,
1/17/2015,1:00:00 PM,2.509,0.1003064999,23.622,
1/17/2015,2:00:00 PM,2.355,0.1253861167,23.806,
1/17/2015,3:00:00 PM,2.032,0.214013443,23.585,
1/17/2015,4:00:00 PM,1.557,0.3538636276,22.965,
1/17/2015,5:00:00 PM,0.963,0.5256116751,22.079,
1/17/2015,6:00:00 PM,0.353,0.6285176913,20.912,
1/17/2015,7:00:00 PM,0.028,0.6576724963,19.402,
1/17/2015,8:00:00 PM,0,0.6468674751,18.026,
1/17/2015,9:00:00 PM,0,0.5642564902,17.241,
1/17/2015,10:00:00 PM,0,0.423048064,16.524,
1/17/2015,11:00:00 PM,0,0.3416705354,15.904,
1/18/2015,12:00:00 AM,0,0.4353086705,15.383,
1/18/2015,1:00:00 AM,0,0.3125519602,14.895,
1/18/2015,2:00:00 AM,0,0.3659701568,14.494,
1/18/2015,3:00:00 AM,0,0.3538488194,14.168,
1/18/2015,4:00:00 AM,0,0.3748953505,13.951,
1/18/2015,5:00:00 AM,0,0.4001701611,13.777,
1/18/2015,6:00:00 AM,0.144,0.4104791173,15.082,
1/18/2015,7:00:00 AM,0.53,0.4105573652,16.927,
1/18/2015,8:00:00 AM,1.084,0.3876143309,18.314,
1/18/2015,9:00:00 AM,1.629,0.3303151021,19.708,
1/18/2015,10:00:00 AM,2.002,0.2437589072,21.043,
1/18/2015,11:00:00 AM,2.237,0.1655309095,22.21,
1/18/2015,12:00:00 PM,2.308,0.1311606389,23.12,
1/18/2015,1:00:00 PM,2.242,0.1059366519,23.785,
1/18/2015,2:00:00 PM,1.928,0.148040018,24.038,
1/18/2015,3:00:00 PM,1.514,0.2541845145,23.859,
1/18/2015,4:00:00 PM,1.068,0.4193616945,23.274,
1/18/2015,5:00:00 PM,0.913,0.5464097749,22.758,
1/18/2015,6:00:00 PM,0.369,0.638545225,21.592,
1/18/2015,7:00:00 PM,0.033,0.7013184429,19.524,
1/18/2015,8:00:00 PM,0,0.6886659105,17.73,
1/18/2015,9:00:00 PM,0,0.5714620206,16.611,
1/18/2015,10:00:00 PM,0,0.4165321924,15.708,
1/18/2015,11:00:00 PM,0,0.2705158557,15.039,
1/19/2015,12:00:00 AM,0,0.3416618637,14.524,
1/19/2015,1:00:00 AM,0,0.2919187877,14.116,
1/19/2015,2:00:00 AM,0,0.3482729587,14.001,
1/19/2015,3:00:00 AM,0,0.3483268587,14.044,
1/19/2015,4:00:00 AM,0,0.3842944111,13.984,
1/19/2015,5:00:00 AM,0,0.3958864162,13.692,
1/19/2015,6:00:00 AM,0.152,0.4753243793,14.342,
1/19/2015,7:00:00 AM,0.5,0.4662812031,16.1,
1/19/2015,8:00:00 AM,0.504,0.3738981428,17.52,
1/19/2015,9:00:00 AM,0.81,0.2705083952,19.21,
1/19/2015,10:00:00 AM,1.553,0.2063619814,21.918,
1/19/2015,11:00:00 AM,2.249,0.1645629405,24.916,
1/19/2015,12:00:00 PM,2.485,0.16729605,26.915,
